"","StateName","StructureNumber","ElementNumber","Year.of.Inspection","ConditionState1","ConditionState2","ConditionState3","ConditionState4","FunctionalClassOfInventoryRte","TypeOfDesignConstruction","DeckStructureType","DeckProtection","ScourCriticalBridges","Owner","KindOfMaterialDesign","ADT","ADTT","Year.Built","Skew","TypeOfWearingSurface","ScourCriticalBridges.1","NumberOfSnowfalls","NumberOfFreezeThawCycles","TotalElement"
"261985","Oregon","18105 000000000",12,2009,350,350,0,0,9,2,1,0,"4",4,1,56,2,1955,45,6,"4",31,69,700
"261986","Oregon","18105 000000000",12,2011,350,350,0,0,9,2,1,0,"4",4,1,56,2,1955,45,6,"4",32,62,700
"261987","Oregon","18105 000000000",12,2013,350,350,0,0,9,2,1,0,"4",4,1,56,2,1955,45,6,"4",20,70,700
"262027","Oregon","18109 000 00000",12,2002,1700,0,0,0,7,1,9,8,"8",2,5,930,93,1995,0,6,"8",27,37,1700
"262028","Oregon","18109 000 00000",12,2004,1700,0,0,0,7,1,9,8,"8",2,5,958,95,1995,0,6,"8",18,9,1700
"262079","Oregon","18110 353005013",12,2015,532,0,0,0,17,19,NA,0,"8",2,2,714,71,1963,30,6,"8",3,13,532
"262659","Oregon","18153 002 08213",12,2000,13590,1510,0,0,17,5,1,1,"N",1,5,500,150,1997,58,1,"N",9,72,15100
"262660","Oregon","18153 002 08213",12,2002,13590,1510,0,0,19,5,1,1,"N",1,5,500,150,1997,58,1,"N",2,68,15100
"262661","Oregon","18153 002 08213",12,2004,13590,1510,0,0,19,5,1,1,"N",1,5,515,154,1997,58,1,"N",10,43,15100
"262662","Oregon","18153 002 08213",12,2006,13590,755,755,0,19,5,1,1,"N",1,5,515,154,1997,58,1,"N",5,56,15100
"262663","Oregon","18153 002 08213",12,2008,13590,1510,0,0,19,5,1,1,"N",1,5,530,159,1997,58,1,"N",13,60,15100
"262664","Oregon","18153 002 08213",12,2010,13590,1510,0,0,19,5,1,1,"N",1,5,535,160,1997,58,1,"N",12,42,15100
"262665","Oregon","18153 002 08213",12,2012,13590,1510,0,0,19,5,1,1,"N",1,5,1600,400,1997,58,1,"N",18,64,15100
"262666","Oregon","18153 002 08213",12,2014,13590,1510,0,0,7,5,1,1,"N",1,5,1600,400,1997,58,1,"N",10,36,15100
"262667","Oregon","18153 002 08213",12,2015,13590,1510,0,0,7,5,1,1,"N",1,5,1600,400,1997,58,1,"N",4,28,15100
"262719","Oregon","18154 002 08208",12,2004,5250,2250,0,0,19,5,1,1,"N",1,1,523,156,1998,33,0,"N",10,43,7500
"262720","Oregon","18154 002 08208",12,2006,4875,2250,375,0,19,5,1,1,"N",1,1,523,156,1998,33,0,"N",5,56,7500
"262721","Oregon","18154 002 08208",12,2008,6000,750,750,0,19,5,1,1,"N",1,1,539,161,1998,33,0,"N",13,60,7500
"262722","Oregon","18154 002 08208",12,2010,6000,750,750,0,19,5,1,1,"N",1,1,544,163,1998,33,0,"N",12,42,7500
"262723","Oregon","18154 002 08208",12,2012,6000,750,750,0,19,5,1,1,"N",1,1,1600,400,1998,33,0,"N",18,64,7500
"262724","Oregon","18154 002 08208",12,2015,4750,2000,750,0,17,5,1,1,"N",1,1,1600,400,1998,33,0,"N",4,28,7500
"262934","Oregon","18173 004 13824",12,1999,11700,0,0,0,14,2,1,1,"N",1,5,12000,1200,1998,55,1,"N",19,157,11700
"262935","Oregon","18173 004 13824",12,2001,10530,1170,0,0,14,2,1,1,"N",1,5,12000,1200,1998,55,1,"N",29,138,11700
"262936","Oregon","18173 004 13824",12,2003,5850,3510,2340,0,14,2,1,1,"N",1,5,28700,2009,1998,55,1,"N",18,121,11700
"262937","Oregon","18173 004 13824",12,2005,5850,3510,2340,0,14,2,1,1,"N",1,5,30200,2416,1998,55,1,"N",21,103,11700
"262938","Oregon","18173 004 13824",12,2007,7020,2340,2340,0,14,2,1,1,"N",1,5,38400,3072,1998,55,1,"N",13,114,11700
"262939","Oregon","18173 004 13824",12,2009,11700,0,0,0,14,2,1,1,"N",1,5,33734,2698,1998,55,1,"N",17,129,11700
"262940","Oregon","18173 004 13824",12,2011,11700,0,0,0,14,2,1,1,"N",1,5,31700,2219,1998,55,1,"N",16,127,11700
"262941","Oregon","18173 004 13824",12,2013,11700,0,0,0,14,2,1,1,"N",1,5,30900,2163,1998,55,1,"N",7,118,11700
"263359","Oregon","18207 047 07066",12,2004,5830,0,0,0,17,5,1,1,"N",1,5,1442,14,1999,0,1,"N",3,4,5830
"263360","Oregon","18207 047 07066",12,2006,5830,0,0,0,17,5,1,1,"N",1,5,1442,14,1999,0,1,"N",NA,18,5830
"263361","Oregon","18207 047 07066",12,2008,5830,0,0,0,17,5,1,1,"N",1,5,1485,14,1999,0,1,"N",12,14,5830
"263362","Oregon","18207 047 07066",12,2010,5830,0,0,0,17,5,1,1,"N",1,5,300,12,1999,0,1,"N",3,2,5830
"263427","Oregon","18208 004 13028",12,2003,5600,0,0,0,7,5,1,1,"N",1,5,3893,389,1998,4,0,"N",18,121,5600
"263428","Oregon","18208 004 13028",12,2005,5600,0,0,0,7,5,1,1,"N",1,5,4010,401,1998,4,1,"N",21,103,5600
"263429","Oregon","18208 004 13028",12,2007,5040,560,0,0,7,5,1,1,"N",1,5,4010,401,1998,4,1,"N",13,114,5600
"263430","Oregon","18208 004 13028",12,2009,5040,560,0,0,7,5,1,1,"N",1,5,5454,381,1998,4,1,"N",17,129,5600
"263431","Oregon","18208 004 13028",12,2011,4480,1120,0,0,7,5,1,1,"N",1,5,5454,381,1998,4,1,"N",16,127,5600
"263432","Oregon","18208 004 13028",12,2013,4480,1120,0,0,7,5,1,1,"N",1,5,5454,381,1998,4,1,"N",7,118,5600
"263482","Oregon","18211 004 11264",12,2004,38278,2126,2126,0,2,11,9,1,"9",1,1,10700,1391,2000,0,0,"9",9,59,42530
"263483","Oregon","18211 004 11264",12,2007,34025,6379,2126,0,2,11,1,1,"9",1,1,10700,856,2000,0,1,"9",2,73,42530
"263484","Oregon","18211 004 11264",12,2009,8507,31897,2126,0,2,11,1,1,"9",1,1,10605,1590,2000,0,1,"9",10,91,42530
"263485","Oregon","18211 004 11264",12,2011,8507,31897,2126,0,2,11,1,1,"9",1,1,12500,1875,2000,0,1,"9",11,100,42530
"263486","Oregon","18211 004 11264",12,2013,8507,31897,2126,0,2,11,1,1,"9",1,1,16300,1304,2000,0,1,"9",4,98,42530
"263631","Oregon","18237 18237 843",12,2004,6688,0,0,0,6,1,9,8,"8",2,5,2214,221,1998,20,6,"8",5,4,6688
"263967","Oregon","18273 260 01291",12,2003,25050,0,0,0,7,5,9,1,"8",1,6,1690,33,2001,0,1,"8",1,18,25050
"263968","Oregon","18273 260 01291",12,2004,22545,2505,0,0,7,5,9,1,"8",1,6,1690,33,2001,0,1,"8",3,10,25050
"263969","Oregon","18273 260 01291",12,2007,21292,3758,0,0,7,5,1,1,"8",1,6,1300,78,2001,0,1,"8",5,40,25050
"263970","Oregon","18273 260 01291",12,2009,21292,3758,0,0,7,5,1,1,"5",1,6,1212,72,2001,0,1,"5",2,29,25050
"263971","Oregon","18273 260 01291",12,2010,21292,2505,1253,0,7,5,1,1,"5",1,6,1300,156,2001,0,1,"5",7,11,25050
"263972","Oregon","18273 260 01291",12,2011,22544,1253,1253,0,7,5,1,1,"5",1,6,1300,156,2001,0,1,"5",7,36,25050
"263973","Oregon","18273 260 01291",12,2013,22545,2505,0,0,7,5,1,1,"5",1,6,1600,176,2001,0,1,"5",4,33,25050
"264065","Oregon","18276 050 00157",12,1999,4500,0,0,0,2,5,1,1,"8",1,5,5100,765,1997,55,4,"8",79,141,4500
"264066","Oregon","18276 050 00157",12,2001,4275,225,0,0,2,5,1,1,"8",1,5,5101,765,1997,55,4,"8",57,123,4500
"264067","Oregon","18276 050 00157",12,2003,1125,3375,0,0,2,5,1,1,"8",1,5,5300,742,1997,55,4,"8",68,111,4500
"264068","Oregon","18276 050 00157",12,2005,1125,3375,0,0,2,5,1,1,"8",1,5,5400,756,1997,55,4,"8",58,107,4500
"264069","Oregon","18276 050 00157",12,2007,1125,2250,1125,0,2,5,1,1,"8",1,5,5600,560,1997,55,2,"8",53,117,4500
"264070","Oregon","18276 050 00157",12,2009,4275,225,0,0,2,5,1,1,"8",1,5,5353,481,1997,55,2,"8",48,134,4500
"264071","Oregon","18276 050 00157",12,2011,4275,225,0,0,2,5,1,1,"8",1,5,5800,0,1997,55,2,"8",56,137,4500
"264072","Oregon","18276 050 00157",12,2013,3825,450,225,0,14,5,1,1,"8",1,5,6900,1242,1997,55,2,"8",32,132,4500
"264180","Oregon","18283 015 10740",12,2000,3200,0,0,0,2,2,1,1,"N",1,5,4000,400,1997,0,1,"N",21,155,3200
"264181","Oregon","18283 015 10740",12,2004,640,1920,640,0,7,2,1,1,"N",1,5,4120,412,1997,0,1,"N",27,127,3200
"264182","Oregon","18283 015 10740",12,2006,640,2560,0,0,7,2,1,1,"N",1,5,4120,412,1997,0,1,"N",28,126,3200
"264183","Oregon","18283 015 10740",12,2008,800,2400,0,0,7,2,1,1,"N",1,5,4244,424,1997,0,1,"N",30,134,3200
"264184","Oregon","18283 015 10740",12,2010,2560,640,0,0,7,2,1,1,"N",1,5,4000,240,1997,0,1,"N",28,114,3200
"264185","Oregon","18283 015 10740",12,2012,2560,640,0,0,7,2,1,1,"N",1,5,1900,133,1997,0,1,"N",22,123,3200
"264186","Oregon","18283 015 10740",12,2014,2560,640,0,0,2,2,1,1,"N",1,5,1900,133,1997,0,1,"N",21,89,3200
"264219","Oregon","18285 058 00002",12,2001,5375,0,0,0,17,2,1,1,"8",2,5,3301,330,2000,0,0,"8",19,39,5375
"264220","Oregon","18285 058 00002",12,2002,5375,0,0,0,17,2,1,1,"8",2,5,3367,336,2000,0,0,"8",27,37,5375
"264221","Oregon","18285 058 00002",12,2004,5375,0,0,0,17,2,1,1,"8",2,5,3468,346,2000,0,0,"8",18,9,5375
"264222","Oregon","18285 058 00002",12,2006,5375,0,0,0,17,2,1,1,"8",4,5,3468,346,2000,0,1,"8",24,31,5375
"264223","Oregon","18285 058 00002",12,2009,5375,0,0,0,17,2,1,1,"8",4,5,3608,360,2000,0,1,"8",27,42,5375
"264224","Oregon","18285 058 00002",12,2011,5375,0,0,0,17,2,1,1,"8",4,5,3608,360,2000,0,1,"8",38,37,5375
"264225","Oregon","18285 058 00002",12,2013,5375,0,0,0,17,2,1,1,"8",4,5,3608,360,2000,0,1,"8",19,23,5375
"264428","Oregon","18290 000000000",12,2000,1100,0,0,0,9,1,2,1,"8",4,5,50,NA,1997,15,6,"8",19,147,1100
"264462","Oregon","18293 661500023",12,2010,3170,0,0,0,9,2,2,1,"8",2,5,89,0,2006,23,6,"8",8,5,3170
"264463","Oregon","18293 661500023",12,2012,3170,0,0,0,9,2,2,1,"8",2,5,89,0,2006,23,6,"8",20,12,3170
"264589","Oregon","18301 65020 046",12,2001,2220,0,0,0,9,4,8,1,"8",2,5,130,13,1997,0,1,"8",24,10,2220
"264590","Oregon","18301 65020 046",12,2003,2220,0,0,0,9,4,8,1,"8",2,5,136,13,1997,0,1,"8",19,6,2220
"264591","Oregon","18301 65020 046",12,2004,2220,0,0,0,9,2,9,1,"8",2,5,150,7,1997,0,1,"8",19,3,2220
"264592","Oregon","18301 65020 046",12,2006,2220,0,0,0,9,2,9,1,"8",2,5,150,7,1997,0,1,"8",24,19,2220
"264593","Oregon","18301 65020 046",12,2008,2220,0,0,0,9,2,9,1,"8",2,5,154,7,1997,0,1,"8",17,22,2220
"264594","Oregon","18301 65020 046",12,2010,2109,111,0,0,9,2,9,1,"8",2,5,161,8,1997,0,1,"8",8,5,2220
"264595","Oregon","18301 65020 046",12,2012,2109,111,0,0,9,2,9,1,"8",2,5,161,8,1997,0,1,"8",20,12,2220
"264639","Oregon","18308 036 01873",12,2000,1400,0,0,0,7,2,1,1,"8",1,5,210,31,1998,40,1,"8",18,95,1400
"264640","Oregon","18308 036 01873",12,2002,1400,0,0,0,7,2,1,1,"8",1,5,280,36,1998,40,1,"8",24,82,1400
"264641","Oregon","18308 036 01873",12,2003,1400,0,0,0,7,2,1,1,"8",1,5,200,14,1998,40,1,"8",25,60,1400
"264642","Oregon","18308 036 01873",12,2005,1400,0,0,0,7,2,1,1,"8",1,5,200,14,1998,40,1,"8",7,57,1400
"264643","Oregon","18308 036 01873",12,2007,1400,0,0,0,7,2,1,1,"8",1,5,206,14,1998,40,1,"8",15,57,1400
"264644","Oregon","18308 036 01873",12,2009,1330,70,0,0,7,2,1,1,"8",1,5,220,15,1998,40,1,"8",31,69,1400
"264645","Oregon","18308 036 01873",12,2011,1330,70,0,0,7,2,1,1,"8",1,5,310,24,1998,40,1,"8",32,62,1400
"264646","Oregon","18308 036 01873",12,2013,1330,70,0,0,7,2,1,1,"8",1,5,230,18,1998,40,1,"8",20,70,1400
"264697","Oregon","18309 000 00000",12,2002,5700,0,0,0,17,2,1,1,"8",2,5,6000,300,2001,48,1,"8",27,37,5700
"264698","Oregon","18309 000 00000",12,2003,570,5130,0,0,17,2,1,1,"8",2,5,6000,300,2001,48,1,"8",23,22,5700
"264699","Oregon","18309 000 00000",12,2005,0,0,5700,0,17,2,1,1,"8",2,5,6180,309,2001,48,1,"8",11,34,5700
"264700","Oregon","18309 000 00000",12,2007,0,0,5700,0,17,2,1,1,"8",2,5,6180,309,2001,48,1,"8",18,31,5700
"264701","Oregon","18309 000 00000",12,2009,0,0,5700,0,17,2,1,1,"8",2,5,6429,321,2001,48,1,"8",27,42,5700
"264702","Oregon","18309 000 00000",12,2011,0,0,5700,0,17,2,1,1,"8",2,5,6429,321,2001,48,1,"8",38,37,5700
"264703","Oregon","18309 000 00000",12,2013,0,0,5700,0,17,2,1,1,"8",2,5,6429,321,2001,48,1,"8",19,23,5700
"264743","Oregon","18310 000 00000",12,2003,3780,420,0,0,17,2,1,1,"8",2,5,10000,500,2001,0,1,"8",23,22,4200
"264744","Oregon","18310 000 00000",12,2005,3780,420,0,0,17,2,1,1,"8",2,5,10300,515,2001,0,1,"8",11,34,4200
"264745","Oregon","18310 000 00000",12,2007,3360,840,0,0,17,2,1,1,"8",2,5,10300,515,2001,0,1,"8",18,31,4200
"264746","Oregon","18310 000 00000",12,2009,3360,840,0,0,17,2,1,1,"8",2,5,10715,535,2001,0,1,"8",27,42,4200
"264747","Oregon","18310 000 00000",12,2011,3360,840,0,0,17,2,1,1,"8",2,5,10715,535,2001,0,1,"8",38,37,4200
"264748","Oregon","18310 000 00000",12,2013,3360,840,0,0,17,2,1,1,"8",2,5,10715,535,2001,0,1,"8",19,23,4200
"264783","Oregon","18311 000 00000",12,2002,6700,0,0,0,17,2,1,1,"8",2,5,10000,500,2001,0,1,"8",27,37,6700
"264784","Oregon","18311 000 00000",12,2003,6633,67,0,0,17,2,1,1,"8",2,5,10000,500,2001,0,1,"8",23,22,6700
"264785","Oregon","18311 000 00000",12,2005,6700,0,0,0,17,2,1,1,"8",2,5,10300,515,2001,0,1,"8",11,34,6700
"264786","Oregon","18311 000 00000",12,2007,6700,0,0,0,17,2,1,1,"8",2,5,10300,515,2001,0,1,"8",18,31,6700
"264787","Oregon","18311 000 00000",12,2009,6700,0,0,0,17,2,1,1,"8",2,5,10715,535,2001,0,1,"8",27,42,6700
"264788","Oregon","18311 000 00000",12,2011,6700,0,0,0,17,2,1,1,"8",2,5,10715,535,2001,0,1,"8",38,37,6700
"264789","Oregon","18311 000 00000",12,2013,5695,1005,0,0,17,2,1,1,"8",2,5,10715,535,2001,0,1,"8",19,23,6700
"265659","Oregon","18381       000",12,2004,3552,0,0,0,9,2,1,1,"8",2,5,185,18,1998,36,6,"8",2,2,3552
"265660","Oregon","18381       000",12,2006,3552,0,0,0,9,2,1,1,"8",2,5,185,18,1998,36,6,"8",3,13,3552
"265661","Oregon","18381       000",12,2008,3552,0,0,0,9,2,1,1,"8",2,5,191,19,1998,36,6,"8",10,18,3552
"265662","Oregon","18381       000",12,2010,3374,178,0,0,9,2,1,1,"8",2,5,199,19,1998,36,6,"8",1,4,3552
"265663","Oregon","18381       000",12,2012,3374,178,0,0,9,2,1,0,"8",2,5,199,19,1998,36,1,"8",8,6,3552
"265664","Oregon","18381       000",12,2014,3534,18,0,0,9,2,1,0,"8",2,1,199,19,1998,36,1,"8",3,12,3552
"265708","Oregon","18382 000 00000",12,2010,1800,0,0,0,9,2,9,0,"U",2,5,115,5,1996,0,6,"U",1,4,1800
"265709","Oregon","18382 000 00000",12,2012,1800,0,0,0,9,4,9,0,"U",2,5,115,5,1996,0,6,"U",8,6,1800
"265885","Oregon","18399 000 00067",12,2002,0,20000,0,0,7,5,1,1,"8",2,4,1300,130,1996,0,1,"8",11,24,20000
"265886","Oregon","18399 000 00067",12,2004,0,20000,0,0,7,5,1,1,"8",2,4,1339,133,1996,0,1,"8",7,2,20000
"265887","Oregon","18399 000 00067",12,2005,10000,10000,0,0,7,5,1,1,"8",2,4,1339,133,1996,0,1,"8",5,12,20000
"265888","Oregon","18399 000 00067",12,2007,10000,10000,0,0,7,5,1,1,"8",2,4,1339,133,1996,0,1,"8",15,35,20000
"265889","Oregon","18399 000 00067",12,2009,10000,10000,0,0,7,5,1,1,"8",2,4,1393,139,1996,0,1,"8",3,33,20000
"265890","Oregon","18399 000 00067",12,2011,0,20000,0,0,7,5,1,1,"8",2,4,1393,139,1996,0,1,"8",13,36,20000
"265891","Oregon","18399 000 00067",12,2013,0,20000,0,0,17,5,1,1,"8",2,4,1393,139,1996,0,1,"8",8,21,20000
"266304","Oregon","18408 002 07116",12,2003,32470,0,0,0,1,2,1,1,"N",1,5,19100,5539,2001,59,1,"N",7,51,32470
"266305","Oregon","18408 002 07116",12,2005,32470,0,0,0,1,2,1,1,"N",1,5,19700,5122,2001,59,1,"N",9,47,32470
"266306","Oregon","18408 002 07116",12,2007,29223,3247,0,0,1,2,1,1,"N",1,5,19500,5070,2001,59,1,"N",6,53,32470
"266307","Oregon","18408 002 07116",12,2009,25976,6494,0,0,1,2,1,1,"N",1,5,20705,5383,2001,59,1,"N",10,61,32470
"266308","Oregon","18408 002 07116",12,2011,29223,3247,0,0,1,2,1,1,"N",1,5,19500,5655,2001,59,1,"N",14,74,32470
"266309","Oregon","18408 002 07116",12,2013,29223,3247,0,0,1,2,1,1,"N",1,5,20800,6032,2001,59,1,"N",5,56,32470
"266424","Oregon","18427 02200 856",12,2001,0,0,8540,0,6,2,1,0,"3",1,2,13331,2266,1999,0,1,"3",14,50,8540
"266425","Oregon","18427 02200 856",12,2005,2135,2135,4270,0,6,2,1,0,"3",1,5,16848,1010,1999,0,1,"3",10,40,8540
"266426","Oregon","18427 02200 856",12,2007,1708,2562,4270,0,6,2,1,1,"3",1,5,18500,925,1999,0,1,"3",13,56,8540
"266427","Oregon","18427 02200 856",12,2009,0,5551,2989,0,6,2,1,1,"3",1,5,18483,924,1999,0,1,"3",2,49,8540
"266428","Oregon","18427 02200 856",12,2011,3416,2562,2562,0,6,2,1,1,"3",1,5,18000,540,1999,0,1,"3",9,54,8540
"266429","Oregon","18427 02200 856",12,2013,5124,2562,854,0,16,2,1,1,"3",1,5,14900,298,1999,0,1,"3",6,40,8540
"266466","Oregon","18431 053 08525",12,2002,7350,2450,0,0,2,2,1,1,"9",1,6,4000,720,1998,40,1,"9",2,68,9800
"266467","Oregon","18431 053 08525",12,2004,2450,7350,0,0,2,2,1,1,"9",1,6,3900,1053,1998,40,1,"9",10,43,9800
"266468","Oregon","18431 053 08525",12,2006,2450,7350,0,0,2,2,1,1,"8",1,6,4000,680,1998,40,1,"8",5,56,9800
"266469","Oregon","18431 053 08525",12,2008,2450,7350,0,0,2,2,1,1,"8",1,6,3800,912,1998,40,1,"8",13,60,9800
"266470","Oregon","18431 053 08525",12,2010,2450,6860,490,0,2,2,1,1,"8",1,6,3500,805,1998,40,1,"8",12,42,9800
"266471","Oregon","18431 053 08525",12,2012,2450,6860,490,0,2,2,1,1,"8",1,6,4200,1050,1998,40,1,"8",18,64,9800
"266472","Oregon","18431 053 08525",12,2015,2940,6860,0,0,2,2,1,1,"8",1,6,4200,1050,1998,40,1,"8",4,28,9800
"266724","Oregon","18444 858 00096",12,2002,7779,0,0,0,7,2,1,1,"8",2,5,1100,165,2000,0,0,"8",2,3,7779
"266725","Oregon","18444 858 00096",12,2004,7779,0,0,0,7,2,1,1,"8",2,5,1133,169,2000,0,0,"8",NA,2,7779
"266726","Oregon","18444 858 00096",12,2006,7779,0,0,0,7,2,1,1,"8",2,5,1133,169,2000,0,0,"8",1,11,7779
"266727","Oregon","18444 858 00096",12,2008,7779,0,0,0,7,2,1,1,"8",2,5,1167,175,2000,0,0,"8",8,9,7779
"266728","Oregon","18444 858 00096",12,2009,7779,0,0,0,7,2,1,1,"8",2,5,1179,176,2000,0,0,"8",2,8,7779
"266729","Oregon","18444 858 00096",12,2011,7779,0,0,0,7,2,1,1,"8",2,5,1179,176,2000,0,0,"8",9,7,7779
"266730","Oregon","18444 858 00096",12,2013,7779,0,0,0,7,2,1,1,"8",2,5,1179,176,2000,0,0,"8",1,9,7779
"266780","Oregon","18448 000 00000",12,2001,3484,0,0,0,9,2,1,1,"8",2,5,220,22,1998,13,2,"8",1,2,3484
"266781","Oregon","18448 000 00000",12,2003,3484,0,0,0,9,2,1,1,"8",2,5,227,22,1998,13,2,"8",2,4,3484
"266782","Oregon","18448 000 00000",12,2004,3484,0,0,0,9,2,1,1,"8",2,5,227,22,1998,13,2,"8",4,10,3484
"266783","Oregon","18448 000 00000",12,2006,3484,0,0,0,9,2,1,1,"8",2,5,233,23,1998,13,2,"8",2,10,3484
"266784","Oregon","18448 000 00000",12,2009,3484,0,0,0,9,2,1,1,"8",2,5,242,24,1998,13,1,"8",4,18,3484
"266785","Oregon","18448 000 00000",12,2010,3484,0,0,0,9,2,1,1,"8",2,5,242,24,1998,13,1,"8",NA,3,3484
"266786","Oregon","18448 000 00000",12,2012,3310,0,174,0,9,2,1,1,"8",2,5,242,24,1998,13,1,"8",12,3,3484
"266787","Oregon","18448 000 00000",12,2015,3442,42,0,0,9,2,1,1,"8",2,5,242,24,1998,13,1,"8",1,1,3484
"267246","Oregon","18479 000000000",12,2002,6383,64,0,0,17,4,1,1,"8",4,5,600,6,1998,0,0,"8",28,13,6447
"267247","Oregon","18479 000000000",12,2004,6383,64,0,0,17,2,1,1,"8",4,5,618,6,1998,0,1,"8",19,3,6447
"267248","Oregon","18479 000000000",12,2006,6125,322,0,0,17,2,1,1,"8",4,5,637,6,1998,0,1,"8",24,19,6447
"267249","Oregon","18479 000000000",12,2008,6125,322,0,0,17,2,1,1,"8",4,5,656,6,1998,0,1,"8",17,22,6447
"267250","Oregon","18479 000000000",12,2010,6125,322,0,0,17,2,1,1,"8",4,5,663,6,1998,0,1,"8",8,5,6447
"267251","Oregon","18479 000000000",12,2012,6125,322,0,0,17,2,1,1,"8",4,5,663,6,1998,0,1,"8",20,12,6447
"267252","Oregon","18479 000000000",12,2014,6372,75,0,0,16,2,1,1,"8",4,5,663,6,1998,0,1,"8",6,14,6447
"267392","Oregon","18493 000 00000",12,2012,4920,0,0,0,7,5,1,0,"N",2,5,5692,170,2009,0,1,"N",22,123,4920
"267393","Oregon","18493 000 00000",12,2014,4920,0,0,0,7,5,1,0,"N",2,5,5692,170,2009,0,1,"N",21,89,4920
"267406","Oregon","18494 000 00000",12,2012,8670,0,0,0,7,5,1,0,"N",2,5,5592,167,2009,0,1,"N",22,123,8670
"267407","Oregon","18494 000 00000",12,2014,8670,0,0,0,7,5,1,0,"N",2,5,5592,167,2009,0,1,"N",21,89,8670
"267519","Oregon","18514 960 00000",12,2001,7688,0,0,0,7,5,1,1,"9",2,3,280,8,2000,2,0,"9",1,14,7688
"267520","Oregon","18514 960 00000",12,2002,7688,0,0,0,7,5,1,1,"9",2,3,280,8,2000,2,0,"9",6,14,7688
"267521","Oregon","18514 960 00000",12,2004,7688,0,0,0,7,5,1,1,"9",2,3,288,8,2000,2,0,"9",5,4,7688
"267522","Oregon","18514 960 00000",12,2006,7688,0,0,0,7,5,1,1,"9",2,3,288,8,2000,2,0,"9",2,25,7688
"267523","Oregon","18514 960 00000",12,2008,7688,0,0,0,7,5,1,1,"9",2,3,297,8,2000,2,0,"9",10,20,7688
"267524","Oregon","18514 960 00000",12,2010,7688,0,0,0,7,5,1,1,"5",2,3,300,9,2000,2,0,"5",1,8,7688
"267525","Oregon","18514 960 00000",12,2012,7688,0,0,0,7,5,1,1,"5",2,3,300,9,2000,2,1,"5",12,11,7688
"267526","Oregon","18514 960 00000",12,2014,7642,46,0,0,7,5,1,1,"5",2,3,300,9,2000,2,1,"5",3,16,7688
"267584","Oregon","18518 015 02259",12,2000,3060,0,340,0,2,2,1,1,"9",1,5,4400,660,1997,28,1,"9",1,14,3400
"267585","Oregon","18518 015 02259",12,2002,2720,0,680,0,2,2,1,1,"8",1,5,4700,705,1997,28,1,"8",1,18,3400
"267586","Oregon","18518 015 02259",12,2004,1700,850,850,0,2,2,1,1,"8",1,5,5100,663,1997,28,1,"8",3,5,3400
"267587","Oregon","18518 015 02259",12,2006,1870,680,850,0,2,2,1,1,"8",1,5,5000,900,1997,28,1,"8",2,18,3400
"267588","Oregon","18518 015 02259",12,2008,1870,680,850,0,2,2,1,1,"8",1,5,4800,672,1997,28,1,"8",7,23,3400
"267589","Oregon","18518 015 02259",12,2010,3060,340,0,0,2,2,1,1,"8",1,5,4300,602,1997,28,1,"8",2,8,3400
"267590","Oregon","18518 015 02259",12,2012,3060,340,0,0,2,2,1,1,"8",1,5,3400,816,1997,28,1,"8",11,10,3400
"267591","Oregon","18518 015 02259",12,2014,3060,340,0,0,2,2,1,1,"8",1,5,3400,816,1997,28,1,"8",2,10,3400
"268121","Oregon","18552 004 13874",12,2003,6210,690,0,0,16,5,1,1,"N",1,5,3900,117,1999,31,0,"N",18,121,6900
"268122","Oregon","18552 004 13874",12,2005,2415,3450,1035,0,16,5,1,1,"N",1,5,3900,117,1999,31,0,"N",21,103,6900
"268123","Oregon","18552 004 13874",12,2007,2415,3450,1035,0,16,5,1,1,"N",1,5,4017,120,1999,31,1,"N",13,114,6900
"268124","Oregon","18552 004 13874",12,2009,2415,3450,1035,0,16,5,1,1,"N",1,5,5454,381,1999,31,1,"N",17,129,6900
"268125","Oregon","18552 004 13874",12,2011,5520,1380,0,0,16,5,1,1,"N",1,5,5454,381,1999,31,1,"N",16,127,6900
"268126","Oregon","18552 004 13874",12,2013,5175,1725,0,0,16,5,1,1,"N",1,5,5454,381,1999,31,1,"N",7,118,6900
"268177","Oregon","18571 026 06380",12,2001,4884,0,0,0,9,5,1,0,"N",1,5,500,25,2001,15,6,"N",11,62,4884
"268178","Oregon","18571 026 06380",12,2002,4640,244,0,0,9,5,1,0,"N",1,5,500,25,2001,15,6,"N",13,64,4884
"268179","Oregon","18571 026 06380",12,2004,4640,244,0,0,9,5,1,0,"N",1,5,523,26,2001,15,0,"N",14,42,4884
"268180","Oregon","18571 026 06380",12,2006,4640,244,0,0,9,5,1,1,"N",1,5,523,26,2001,15,1,"N",17,57,4884
"268181","Oregon","18571 026 06380",12,2008,4640,244,0,0,2,5,1,1,"N",1,5,555,27,2001,15,1,"N",29,53,4884
"268182","Oregon","18571 026 06380",12,2010,4640,244,0,0,2,5,1,1,"N",1,5,561,28,2001,15,1,"N",15,27,4884
"268183","Oregon","18571 026 06380",12,2012,4640,244,0,0,2,5,1,1,"N",1,5,561,28,2001,15,1,"N",31,58,4884
"268184","Oregon","18571 026 06380",12,2014,4640,244,0,0,2,5,1,1,"N",1,5,561,28,2001,15,1,"N",9,24,4884
